"year","prov","sector","scenario","emissions"
2011,"AB","Electricity","2022 Additional Measures Scenario",0
2011,"AB","Electricity","2022 Reference Case",0
2011,"AB","Electricity","NIR 2022",44.8
2011,"BC","Electricity","2022 Additional Measures Scenario",0
2011,"BC","Electricity","2022 Reference Case",0
2011,"BC","Electricity","NIR 2022",0.3
2011,"Canada","Electricity","2022 Additional Measures Scenario",0
2011,"Canada","Electricity","2022 Reference Case",0
2011,"Canada","Electricity","NIR 2022",86.6
2011,"MB","Electricity","2022 Additional Measures Scenario",0
2011,"MB","Electricity","2022 Reference Case",0
2011,"MB","Electricity","NIR 2022",0.1
2011,"ATL","Electricity","2022 Additional Measures Scenario",0
2011,"ATL","Electricity","2022 Reference Case",0
2011,"ATL","Electricity","NIR 2022",13.6
2011,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2011,"Northwest Territories","Electricity","2022 Reference Case",0
2011,"Northwest Territories","Electricity","NIR 2022",0
2011,"ON","Electricity","2022 Additional Measures Scenario",0
2011,"ON","Electricity","2022 Reference Case",0
2011,"ON","Electricity","NIR 2022",12.9
2011,"QC","Electricity","2022 Additional Measures Scenario",0
2011,"QC","Electricity","2022 Reference Case",0
2011,"QC","Electricity","NIR 2022",0.4
2011,"SK","Electricity","2022 Additional Measures Scenario",0
2011,"SK","Electricity","2022 Reference Case",0
2011,"SK","Electricity","NIR 2022",14.2
2012,"AB","Electricity","2022 Additional Measures Scenario",0
2012,"AB","Electricity","2022 Reference Case",0
2012,"AB","Electricity","NIR 2022",42.4
2012,"BC","Electricity","2022 Additional Measures Scenario",0
2012,"BC","Electricity","2022 Reference Case",0
2012,"BC","Electricity","NIR 2022",0.3
2012,"Canada","Electricity","2022 Additional Measures Scenario",0
2012,"Canada","Electricity","2022 Reference Case",0
2012,"Canada","Electricity","NIR 2022",83.3
2012,"MB","Electricity","2022 Additional Measures Scenario",0
2012,"MB","Electricity","2022 Reference Case",0
2012,"MB","Electricity","NIR 2022",0.1
2012,"ATL","Electricity","2022 Additional Measures Scenario",0
2012,"ATL","Electricity","2022 Reference Case",0
2012,"ATL","Electricity","NIR 2022",12.1
2012,"Northwest Territories","Electricity","2022 Additional Measures Scenario",0
2012,"Northwest Territories","Electricity","2022 Reference Case",0
2012,"Northwest Territories","Electricity","NIR 2022",0
2012,"ON","Electricity","2022 Additional Measures Scenario",0
2012,"ON","Electricity","2022 Reference Case",0
2012,"ON","Electricity","NIR 2022",13
2012,"QC","Electricity","2022 Additional Measures Scenario",0
2012,"QC","Electricity","2022 Reference Case",0
2012,"QC","Electricity","NIR 2022",0.5
2012,"SK","Electricity","2022 Additional Measures Scenario",0
2012,"SK","Electricity","2022 Reference Case",0
2012,"SK","Electricity","NIR 2022",14.7
2013,"AB","Electricity","2022 Additional Measures Scenario",0
2013,"AB","Electricity","2022 Reference Case",0
2013,"AB","Electricity","NIR 2022",43.8
